no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed
102,udp64b,decap,0,1,2282873.377,68486623,0,0,63177143,9177207482,0,0,4043337152,0,0,0,0,5309480,0,30.02452517
103,udp64b,decap,0,1,2156047.078,64683243,0,0,63034142,8667554562,0,0,4034185088,0,0,0,0,1649101,0,30.01757503
104,udp64b,decap,0,1,2156047.078,64683243,0,0,62599703,8667554562,0,0,4006380992,0,0,0,0,2083540,0,30.029706
105,udp64b,decap,0,1,2092633.929,62780447,0,0,62780447,8412579898,0,0,4017948608,0,0,0,0,0,0,30.01981592
106,udp64b,decap,0,1,2124340.503,63731431,0,0,63097686,8540011754,0,0,4038251904,0,0,0,0,633745,0,30.02488399
107,udp64b,decap,0,1,2124340.503,63731431,0,0,62844144,8540011754,0,0,4022025216,0,0,0,0,887287,0,30.02605104
108,udp64b,decap,0,1,2108487.216,63254305,0,0,63040840,8476076870,0,0,4034613760,0,0,0,0,213465,0,30.00644398
109,udp64b,decap,0,1,2108487.216,63254305,0,0,63014852,8476076870,0,0,4032950528,0,0,0,0,239453,0,30.02096009
110,udp64b,decap,0,1,2100560.572,63018412,0,0,63018412,8444467208,0,0,4033178368,0,0,0,0,0,0,30.02564502
111,udp64b,decap,0,1,2104523.894,63134205,0,0,63059506,8459983470,0,0,4035808384,0,0,0,0,74699,0,30.02263403
112,udp64b,decap,0,1,2104523.894,63134205,0,0,63054629,8459983470,0,0,4035496256,0,0,0,0,79576,0,30.02067804
113,udp64b,decap,0,1,2102542.233,63076255,0,0,62976199,8452218170,0,0,4030476736,0,0,0,0,100056,0,30.01814985
114,udp64b,decap,0,1,2102542.233,63076255,0,0,63031583,8452218170,0,0,4034021312,0,0,0,0,44672,0,30.01648688
115,udp64b,decap,0,1,2101551.403,63045392,0,0,63045392,8448082528,0,0,4034905088,0,0,0,0,0,0,30.02574205
116,udp64b,decap,0,1,2102046.818,63060820,0,0,62861954,8450149880,0,0,4023165056,0,0,0,0,198866,0,30.0173552
117,udp64b,decap,0,1,2102046.818,63060820,0,0,63029806,8450149880,0,0,4033907584,0,0,0,0,31014,0,30.02368402
118,udp64b,both,0,1,8116883.117,243513384,36660826,243513384,36660286,32630793456,4912550684,15584856576,2346258304,0,0,0,0,206853098,206852558,37.37792301
119,udp64b,both,0,1,8116883.117,243513384,36723272,243513384,36722724,32630793456,4920918448,15584856576,2350254336,0,0,0,0,206790660,206790112,37.37845492
120,udp64b,both,0,1,4058441.558,121756692,29516321,121756692,29514404,16315396728,3955187014,7792428288,1888921856,0,0,0,0,92242288,92240371,30.02287579
121,udp64b,both,0,1,4058441.558,121756692,29442119,121756692,29441316,16315396728,3945243946,7792428288,1884244224,0,0,0,0,92315376,92314573,30.02166104
122,udp64b,both,0,1,2029220.779,60878346,29485156,60878346,29484292,8157698364,3951010904,3896214144,1886994688,0,0,0,0,31394054,31393190,30.02272296
123,udp64b,both,0,1,2029220.779,60878346,29449348,60878346,29448548,8157698364,3946212632,3896214144,1884707072,0,0,0,0,31429798,31428998,30.02839994
124,udp64b,both,0,1,1014610.39,30438275,29540635,30438275,29537979,4078728850,3958445090,1948049600,1890430656,0,0,0,0,900296,897640,30.02144504
125,udp64b,both,0,1,1014610.39,30438275,29479812,30438275,29477124,4078728850,3950294808,1948049600,1886535936,0,0,0,0,961151,958463,30.02763796
126,udp64b,both,0,1,507305.1948,15219138,15219138,15219138,15219138,2039364492,2039364492,974024832,974024832,0,0,0,0,0,0,30.02246499
127,udp64b,both,0,1,760957.7922,22828875,22828875,22828875,22828875,3059069250,3059069250,1461048000,1461048000,0,0,0,0,0,0,30.02555203
128,udp64b,both,0,1,887784.0909,26633392,26633392,26633392,26633392,3568874528,3568874528,1704537088,1704537088,0,0,0,0,0,0,30.02486014
129,udp64b,both,0,1,951197.2403,28535619,28535619,28535619,28535619,3823772946,3823772946,1826279616,1826279616,0,0,0,0,0,0,30.01727009
130,udp64b,both,0,1,982903.8149,29487432,29471851,29487432,29469131,3951315888,3949228034,1887195648,1886024384,0,0,0,0,18301,15581,30.02271509
131,udp64b,both,0,1,982903.8149,29487432,29420571,29487432,29417837,3951315888,3942356514,1887195648,1882741568,0,0,0,0,69595,66861,30.0225091
132,udp64b,both,0,1,967050.5276,29011882,29011882,29011882,29011882,3887592188,3887592188,1856760448,1856760448,0,0,0,0,0,0,30.02982593
133,udp64b,both,0,1,974977.1713,29248969,29248969,29248969,29248969,3919361846,3919361846,1871934016,1871934016,0,0,0,0,0,0,30.02903104
134,udp64b,both,0,1,978940.4931,29368135,29368135,29368135,29368135,3935330090,3935330090,1879560640,1879560640,0,0,0,0,0,0,30.02333212
135,udp64b,both,0,1,980922.154,29427663,29405429,29427663,29402707,3943306842,3940327486,1883370432,1881773248,0,0,0,0,24956,22234,30.02106214
136,udp64b,both,0,1,980922.154,29427663,29423317,29427663,29420601,3943306842,3942724478,1883370432,1882918464,0,0,0,0,7062,4346,30.02159286
