no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,,,,,,
64,imix,both,0,1,432107.3009,12963209,13662420,12963213,11966039,5241125916,5483230588,4690522404,4329712606,0,0,0,0,997170,-699207,30.02625299,,13662420,14043481,381061,11966039,11966039,0
65,imix,both,0,1,388896.5708,11666884,12639118,11666878,10769431,4717011238,5110093172,4221465952,3896739546,0,0,0,0,897453,-972240,30.02954412,,12639118,12639118,0,10769431,10769431,0
66,imix,both,0,1,410501.9358,12315030,13337396,12315028,11367720,4979061360,5391990430,4455988954,4113220020,0,0,0,0,947310,-1022368,30.02670884,,13337396,13341280,3884,11367720,11367720,0
67,imix,both,0,1,410501.9358,12315030,13341223,12315028,11367720,4979061360,5393956232,4455988954,4113220020,0,0,0,0,947310,-1026195,30.01651502,,13341223,13341280,57,11367720,11367720,0
68,imix,both,0,1,399699.2533,11990971,12990221,11990973,11068588,4848042386,5252046026,4338733564,4004984884,0,0,0,0,922383,-999248,30.02673984,,12990221,12990221,0,11068588,11068589,1
69,imix,both,0,1,405100.5946,12153002,13165751,12153001,11218155,4913553036,5323014134,4397360564,4059103508,0,0,0,0,934847,-1012750,30.02148604,,13165751,13165751,0,11218155,11218156,1
70,imix,both,0,1,407801.2652,12234030,13253534,12234031,11292950,4946313550,5358506568,4426681176,4086167130,0,0,0,0,941080,-1019503,30.02393293,,13253534,13253534,0,11292950,11292951,1
71,imix,both,0,1,409151.6005,12274532,13275725,12274533,11330337,4962687458,5365410392,4441335554,4099693438,0,0,0,0,944195,-1001192,30.02979302,,13275725,13297411,21686,11330337,11330337,0
72,imix,both,0,1,409151.6005,12274532,13297411,12274533,11330337,4962687458,5376245836,4441335554,4099693438,0,0,0,0,944195,-1022878,30.02561593,,13297411,13297411,0,11330337,11330337,0
73,imix,both,0,1,409826.7682,12294782,13319343,12294777,11349029,4970874710,5385114766,4448662492,4106456958,0,0,0,0,945753,-1024566,30.03237295,,13319343,13319342,-1,11349029,11349030,1
74,imix,both,0,1,410164.352,12304919,13327667,12304918,11358386,4974973988,5388213042,4452329562,4109843526,0,0,0,0,946533,-1022749,30.01342607,,13327667,13330328,2661,11358386,11358387,1
75,imix,both,0,1,410164.352,12304919,13327031,12304918,11358386,4974973988,5387899052,4452329562,4109843526,0,0,0,0,946533,-1022113,30.02040815,,13327031,13330328,3297,11358386,11358387,1
76,imix,both,0,1,409995.5601,12299858,13324836,12299848,11353715,4972926944,5387335326,4450496854,4108152312,0,0,0,0,946143,-1024988,30.01929402,,13324836,13324835,-1,11353715,11353715,0
77,udp64b,encap,0,1,8116883.117,0,16442466,243513384,0,0,2203290444,15584856576,0,0,0,0,0,0,227070918,30.02339697,,,,,,,
78,udp64b,encap,0,1,8116883.117,0,16381636,243513384,0,0,2195139224,15584856576,0,0,0,0,0,0,227131748,30.02219105,,,,,,,
79,udp64b,encap,0,1,4058441.558,0,16403316,121753097,0,0,2198044344,7792198208,0,0,0,0,0,0,105349781,30.02914,,,,,,,
80,udp64b,encap,0,1,4058441.558,0,16410612,121753097,0,0,2199022008,7792198208,0,0,0,0,0,0,105342485,30.02600503,,,,,,,
81,udp64b,encap,0,1,2029220.779,0,16431908,60876549,0,0,2201875672,3896099136,0,0,0,0,0,0,44444641,30.02347922,,,,,,,
82,udp64b,encap,0,1,2029220.779,0,16223140,60876549,0,0,2173900760,3896099136,0,0,0,0,0,0,44653409,30.01702905,,,,,,,
83,udp64b,encap,0,1,1014610.39,0,16433828,30438275,0,0,2202132952,1948049600,0,0,0,0,0,0,14004447,30.02913499,,,,,,,
