,,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,table,direction,pps,bps
gdp,rcu-2core,udp64b,encap,0,1,1917256.937,0,57518674,57518674,0,0,7707502316,3681195136,0,0,0,0,0,0,0,30.02854705,512,udp64b,encap,1917256.94,"981,635,552"
gdp,rcu-2core,udp64b,decap,0,1,2089166.022,62673567,0,0,62673567,8398257978,0,0,4011108288,0,0,0,0,0,0,30.02554083,512,udp64b,decap,2089166.02,"1,069,653,003"
gdp,rcu-2core,udp64b,both,0,1,1838485.916,55155020,55155020,55155020,55155020,7390772680,7390772680,3529921280,3529921280,0,0,0,0,0,0,30.02812314,512,udp64b,both,1838485.92,"941,304,789"
gdp,rcu-2core,udp128b,encap,0,1,1943045.8,0,58292833,58292833,0,0,11541980934,7461482624,0,0,0,0,0,0,0,30.03366303,1024,udp128b,encap,1943045.80,"1,989,678,899"
gdp,rcu-2core,udp128b,decap,0,1,2054336.968,61631818,0,0,61631818,12203099964,0,0,7888872704,0,0,0,0,0,0,30.02867389,1024,udp128b,decap,2054336.97,"2,103,641,055"
gdp,rcu-2core,udp128b,both,0,1,1797457.354,53923005,53923005,53923005,53923005,10676754990,10676754990,6902144640,6902144640,0,0,0,0,0,0,30.03019905,1024,udp128b,both,1797457.35,"1,840,596,330"
gdp,rcu-2core,udp256b,encap,0,1,1896102.993,0,56883845,56883845,0,0,18544133470,14562264320,0,0,0,0,0,0,0,30.02920699,2048,udp256b,encap,1896102.99,"3,883,218,931"
gdp,rcu-2core,udp256b,decap,0,1,2051336.917,61539830,0,0,61539830,20061984580,0,0,15754196480,0,0,0,0,0,0,30.02119708,2048,udp256b,decap,2051336.92,"4,201,138,006"
gdp,rcu-2core,udp256b,both,0,1,1693240.48,50797958,50797958,50797958,50797958,16560134308,16560134308,13004277248,13004277248,0,0,0,0,0,0,30.02388811,2048,udp256b,both,1693240.48,"3,467,756,503"
gdp,rcu-2core,udp512b,encap,0,1,1686451.047,0,50593509,50593509,0,0,29445422238,25903876608,0,0,0,0,0,0,0,30.0232482,4096,udp512b,encap,1686451.05,"6,907,703,488"
